Date,Open,High,Low,Close,Volume,Predictions,Confidence,ATR,AHMA,Leavitt_Projection,Leavitt_Convolution,LC_Slope,LC_Intercept,LC_Acceleration,Convolution_Probability,Baseline_Bullish,Baseline_Bearish,Baseline_Valid,ML_Trade_Direction,ML_Signal_Quality,ML_Confirmed,LC_Acceleration_Shift,LC_Slope_Shift,LC_Acceleration_STD,LC_Slope_STD,Threshold,Confirm_Threshold,Trend,Trend_Within_Threshold,Confirmed_Trend,Confirmed_Trend_Within_Threshold,Stop_Loss_Price,Take_Profit_1_Price,Take_Profit_2_Price,SL_Pips,TP1_Pips,TP2_Pips,SL_Ticks,TP1_Ticks,TP2_Ticks,News_Conflict,Prevailing_Trend,Baseline_Aligned,Trend_Agreement,LC_Prev,LP_Prev,Entry_Trigger,Entry_Confirmed
2018-02-26 22:00:00+00:00,83.99,84.164,83.582,83.604,27418,0,0.711771595289553,0.779322945241895,83.60269089686125,83.5198505733304,83.48373959661583,-0.019867454607933155,83.51354077852773,0.009121455382583576,-2.3956991230419447,False,False,False,Sell,Moderate,False,0.09288036106896413,-0.02898890999051673,0.12329030214494828,0.11432000503847618,0.02465806042898966,0.034296001511542856,0.0,True,0.0,True,,,,,,,,,,False,None,None,None,,,None,None
2018-02-27 22:00:00+00:00,83.604,83.81,82.792,82.796,27256,0,0.9945558992092092,0.8111465525429759,83.27605417157444,83.35289520544671,83.27309305492858,-0.21064654168725383,83.58906286745946,-0.19077908707932068,-32.2368732095122,False,False,False,Sell,Strong,True,0.009121455382583576,-0.019867454607933155,0.14000423046089028,0.11855617488311204,0.028000846092178056,0.03556685246493361,-1.0,False,-1.0,False,84.01271982881447,81.98485344745703,81.17370689491405,121.67198288144618,81.11465525429793,162.22931050859586,1216.7198288144618,811.1465525429793,1622.2931050859586,False,Bearish,None,None,83.48373959661583,83.5198505733304,None,None
2018-02-28 22:00:00+00:00,82.796,83.178,82.133,82.392,44634,0,0.7336830919935546,0.8423270122039127,82.85166285537885,83.01185548145868,82.78687199487351,-0.4862210600550725,83.51620358495612,-0.27557451836781865,-55.877364669009424,False,False,False,Sell,Moderate,False,-0.19077908707932068,-0.21064654168725383,0.1502435013526608,0.19330721924251143,0.03004870027053216,0.05799216577275343,-1.0,False,-1.0,False,83.65549051830587,81.54967298779609,80.70734597559218,126.3490518305872,84.232701220391,168.465402440782,1263.490518305872,842.3270122039099,1684.6540244078199,False,Bearish,None,None,83.27309305492858,83.35289520544671,None,None
2018-03-01 22:00:00+00:00,82.392,82.608,81.564,82.086,36613,0,0.5423571732023412,0.8692167439100592,82.42094131800866,82.55384320994364,82.17381263677991,-0.6130593580935937,83.09340167392031,-0.1268382980385212,-38.76001261021752,False,False,False,Sell,Weak,False,-0.27557451836781865,-0.4862210600550725,0.1474490257693733,0.25708156595142473,0.02948980515387466,0.07712446978542742,-1.0,False,-1.0,False,83.3898251158651,81.21678325608994,80.34756651217988,130.3825115865095,86.92167439100587,173.84334878201173,1303.825115865095,869.2167439100587,1738.4334878201173,False,Bearish,None,None,82.78687199487351,83.01185548145868,None,None
2018-03-04 22:00:00+00:00,82.086,82.49,81.49,82.476,29430,2,0.9475349685187154,0.886654511388718,82.2215193360473,82.15825303563443,81.72104812985464,-0.45276450692527703,82.40019489024255,0.16029485116831665,-17.118138014934594,False,False,False,Buy,Strong,True,-0.1268382980385212,-0.6130593580935937,0.14654064866366426,0.24001463755244412,0.029308129732732852,0.07200439126573323,1.0,False,0.0,False,81.14601823291692,83.36265451138871,84.24930902277744,132.99817670830834,88.66545113887128,177.33090227774397,1329.9817670830835,886.6545113887128,1773.3090227774396,False,None,None,None,82.17381263677991,82.55384320994364,None,None
2018-03-05 22:00:00+00:00,82.476,83.326,82.175,83.08,32542,2,0.9678721090999836,0.9219005765368884,82.32881506853055,81.94892831774423,81.61542662890798,-0.10562150094665412,81.77385888032796,0.3471430059786229,-3.5659149552716585,False,False,False,Buy,Strong,True,0.16029485116831665,-0.45276450692527703,0.20045885492376062,0.21884280556173114,0.040091770984752126,0.06565284166851934,1.0,False,0.0,False,81.69714913519466,84.00190057653688,84.92380115307378,138.28508648053344,92.19005765368848,184.3801153073784,1382.8508648053344,921.9005765368848,1843.801153073784,False,None,None,None,81.72104812985464,82.15825303563443,None,None
2018-03-06 22:00:00+00:00,83.08,83.092,82.02,82.988,40044,1,0.7560057694070144,0.941913832998637,82.47998172999431,81.89750925871856,81.74081976044987,0.12539313154188392,81.55273006313703,0.23101463248853804,3.1966473919410023,False,False,False,Flat,Moderate,False,0.3471430059786229,-0.10562150094665412,0.2029616826888379,0.24942275094513933,0.04059233653776759,0.0748268252835418,1.0,False,1.0,False,81.57512925050204,83.92991383299864,84.87182766599727,141.2870749497955,94.19138329986367,188.38276659972735,1412.870749497955,941.9138329986367,1883.8276659972735,False,Bullish,None,None,81.61542662890798,81.94892831774423,None,None
2018-03-07 22:00:00+00:00,82.988,83.174,82.5,82.708,27582,1,0.6462009741589403,0.9061919885988196,82.5326481467745,81.94391512740154,81.92510437761206,0.18428461716219147,81.64867745186876,0.05889148562030755,3.940779609158837,False,False,False,Flat,Weak,False,0.23101463248853804,0.12539313154188392,0.20302712192381708,0.28208625390259345,0.04060542438476342,0.08462587617077803,1.0,False,1.0,False,81.34871201710178,83.61419198859882,84.52038397719764,135.92879828982234,90.61919885988203,181.23839771976407,1359.2879828982234,906.1919885988203,1812.3839771976407,False,Bullish,None,None,81.74081976044987,81.89750925871856,None,None
2018-03-08 22:00:00+00:00,82.708,83.902,82.652,83.825,28264,2,0.9786939262784504,0.9520330567856436,82.88798865392559,82.23987950192254,82.36947153921818,0.4443671616061238,81.702920796809,0.2600825444439323,7.6691396059910275,False,True,True,Buy,Strong,True,0.05889148562030755,0.18428461716219147,0.2163025989295608,0.34953527326771705,0.043260519785912166,0.10486058198031512,1.0,False,1.0,False,82.39695041482153,84.77703305678564,85.72906611357129,142.80495851784707,95.20330567856377,190.40661135712895,1428.0495851784708,952.0330567856377,1904.0661135712894,False,Bullish,Bullish,Bullish,81.92510437761206,81.94391512740154,Bullish,Bullish
2018-03-11 21:00:00+00:00,83.825,84.106,83.67,83.774,19909,1,0.6278774887683931,0.8832286492142236,83.23154924446335,82.72675398096699,83.08635505699579,0.7168835177776032,82.01102978032938,0.2725163561714794,9.50896446719513,False,True,True,Flat,Weak,False,0.2600825444439323,0.4443671616061238,0.227228234380156,0.4494856253207779,0.0454456468760312,0.13484568759623336,1.0,False,1.0,False,82.44915702617867,84.65722864921422,85.54045729842845,132.48429738213332,88.32286492142174,176.6457298428449,1324.842973821333,883.2286492142174,1766.4572984284491,False,Bullish,Bullish,Bullish,82.36947153921818,82.23987950192254,None,None
